name,price
Gigabyte Radeon RX 6800 XT Gaming OC,569.99
Gigabyte Radeon RX 6900 XT Gaming OC,1249.99
GIGABYTE Radeon RX 7600 Gaming OC,259.99
GIGABYTE Radeon RX 7600 XT Gaming OC,349.99
GIGABYTE Radeon RX 7700 XT Gaming OC,399.99
GIGABYTE Radeon RX 7800 XT Gaming OC,539.99
GIGABYTE Radeon RX 7900 XT Gaming OC,699.99
GIGABYTE Radeon RX 7900 XTX Gaming OC,899.0
Gigabyte Radeon RX Vega 56 8G,519.99
Gigabyte Radeon RX Vega 56 Gaming OC,219.99
Gigabyte Radeon RX Vega 64 8G,661.57
Gigabyte Radeon RX Vega 64 Gaming OC,370.99
Gigabyte Radeon RX Vega 64 Watercooling 8G,961.2
Gigabyte Radeon VII,699.99
Gigabyte RTX 3070 Eagle,499.99
Gigabyte RTX 3070 Eagle OC,569.99
Gigabyte RTX 3070 Gaming OC,674.99
Gigabyte RTX 3070 Vision OC,676.99
INNO3D GeForce GTX 1050 Ti Compact X1,260.06
INNO3D GeForce GTX 1050 Ti Twin X2,242.53
Intel Arc A750 Limited Edition,199.99
Intel Arc A770 Limited Edition,349.0
MSI GeForce GTX 1050 Ti 4GT OC,189.99
MSI GeForce GTX 1050 Ti Gaming X 4G,229.99
MSI GeForce GTX 1080 Ti Gaming X 11G,919.99
"MSI GeForce GTX 1650 Gaming X 4G, 4096 MB GDDR5",162.39
MSI GeForce GTX 1650 Ventus XS OCV1,151.99
MSI GeForce GTX 1660 Gaming X,234.99
MSI GeForce GTX 1660 Super Ventus XS OC,269.99
MSI GeForce GTX 1660 Ti Armor 6G OC,385.31
MSI GeForce GTX 1660 Ti Gaming X 6G,299.99
MSI GeForce GTX 1660 Ti Ventus XS 6G,269.49
MSI GeForce RTX 2060 Ventus GP 6G OC,284.58
MSI Geforce RTX 2080 Super Gaming X Trio,749.99
MSI GeForce RTX 2080 Ti Gaming X Trio,1189.0
MSI GeForce RTX 3050 Aero ITX 8G OC,224.89
MSI GeForce RTX 3050 Gaming X,329.99
MSI GeForce RTX 3050 Low Profile OC,212.66
MSI GeForce RTX 3050 Ventus 2X 6G OC,217.82
MSI GeForce RTX 3050 Ventus 2X 8G OC,309.99
MSI GeForce RTX 3060 Aero ITX 12G OC,364.99
MSI GeForce RTX 3060 Gaming X,379.99
MSI GeForce RTX 3060 Ti Gaming X 8G LHR,499.0
MSI GeForce RTX 3060 Ti Gaming Z Trio 8G LHR,664.99
MSI GeForce RTX 3060 Ti Ventus 2X 8G OCV1 LHR,469.99
MSI GeForce RTX 3060 Ti Ventus 3X 8G OC LHR,386.18
MSI GeForce RTX 3060 Ventus 2X,364.99
MSI GeForce RTX 3060 Ventus 3X OC,374.99
MSI GeForce RTX 3070 Gaming Z Trio 8G LHR,569.99
MSI GeForce RTX 3070 Ti Gaming X Trio,679.99
MSI GeForce RTX 3070 Ti Suprim X,777.62
MSI GeForce RTX 3070 Ti Ventus 3X 8G OC LHR,649.99
